"title","description","url","company","rating","skills","location","salary_min","salary_max"
"Special Investigations Associate","Master evolving investigative tools for blockchain analytics,\n              social media platforms with emphasis on identity research, data\n              extraction and analysis;…","https://www.glassdoor.co.uk/job-listing/special-investigations-associate-coinbase-JV_IC2671300_KO0,32_KE33,41.htm?jl=1009287075236","Coinbase","3.7","Arabic, Data analysis skills, SQL, Network\n              Protocols, Farsi","Europe","939420000","1649204000"
"Middle Frontend Developer","With Sumsub’s customizable KYC, KYB, transaction monitoring and\n              fraud prevention solutions, you can orchestrate your verification\n              process, welcome more……","https://www.glassdoor.co.uk/job-listing/middle-frontend-developer-sumsub-JV_IC2671300_KO0,25_KE26,32.htm?jl=1009330167636","Sumsub","4.3","CSS, React, WordPress, Git, JavaScript","Europe","876792000","1252560000"
"Account Director (B2B PR)","Flexible working 3days from office and 2 days from home. Robust\n              and tailored career progression plan which includes budget for\n              training.…","https://www.glassdoor.co.uk/job-listing/account-director-b2b-pr-reuben-sinclair-JV_IC2671300_KO0,23_KE24,39.htm?jl=1009174725773","Reuben Sinclair","4.1","Leadership","Europe","1461320000","1899716000"
"Tech PR Account Director (Contract/Permanent + Fully Remote)","We need someone that needs to deliver great service to clients,\n              just because they're wired that way. This person gets that\n              delivering great service isn't just……","https://www.glassdoor.co.uk/job-listing/tech-pr-account-director-contract-permanent-fully-remote-sonus-pr-JV_IC2671300_KO0,56_KE57,65.htm?jl=1007095573377","Sonus PR","4.6","","Europe","730660000","1252560000"
"Operations Associate","That means ensuring our guests have an abundance of choice and\n              flexibility to cancel if their. There is no prior industry\n              experience required.…","https://www.glassdoor.co.uk/job-listing/operations-associate-flex-living-JV_IC2671300_KO0,20_KE21,32.htm?jl=1009335809351","Flex Living","4.2","Organisational skills","Europe","521900000","678470000"
"Manager, Communications","The Manager of Communications will be responsible for elevating\n              the company’s Commercial and B2B, Small Business, and Money\n              Movement capabilities, reputation……","https://www.glassdoor.co.uk/job-listing/manager-communications-mastercard-JV_IC2671300_KO0,22_KE23,33.htm?jl=1009323554685","Mastercard","4.2","Relationship management, Events management","Europe","1774460000","2379864000"
"AML and Financial Crime Specialist - Fintech - Remote - UK","Budget for home office set up. Review and action other disclosure\n              requests (Such as production orders). Working closely with product\n              squads to ensure that……","https://www.glassdoor.co.uk/job-listing/aml-and-financial-crime-specialist-fintech-remote-uk-tymit-JV_IC2671300_KO0,52_KE53,58.htm?jl=1009337682961","Tymit","3.6","Financial services, Communication skills","Europe","709784000","793288000"
"Junior Fraud Investigator","Plus 2 days a year - on us! - to further your skillset. Medical\n              cash plan - To help you with the costs of dental, optical and\n              physio (plus more!).…","https://www.glassdoor.co.uk/job-listing/junior-fraud-investigator-marshmallow-JV_IC2671300_KO0,25_KE26,37.htm?jl=1009329429365","marshmallow","4.1","","Europe","668032000","751536000"
"Planning Assistant","We offer everything you would expect from a large company – like\n              25 days’ holiday plus your birthday off – and a few additions,\n              like 2 paid volunteering days……","https://www.glassdoor.co.uk/job-listing/planning-assistant-dentsu-aegis-network-JV_IC2671300_KO0,18_KE19,39.htm?jl=1009319900110","Dentsu Aegis Network","3.6","Microsoft Powerpoint","Europe","1210808000","1419568000"
"Food & Beverage Assistants","Amazing Recognition Awards Program and social events to keep you\n              connected with Canopy London City and our EPIC Team! Pre-opening\n              experience a plus!…","https://www.glassdoor.co.uk/job-listing/food-beverage-assistants-4c-group-JV_IC2671300_KO0,24_KE25,33.htm?jl=1009346500229","Hidden for privacy reasons","0.0","","Europe","501024000","584528000"
"Manager, Emerging Fin Tech Investments | Start Path","All activities involving access to Mastercard assets, information,\n              and networks comes with an inherent risk to the organization and,\n              therefore, it is expected……","https://www.glassdoor.co.uk/job-listing/manager-emerging-fin-tech-investments-start-path-mastercard-JV_IC2671300_KO0,48_KE49,59.htm?jl=1009323188892","Mastercard","4.2","Analysis skills, Accounting, Banking","Europe","668032000","1482196000"
"House Host / Receptionist","When guests return home inspired, with stories to tell and\n              discoveries to share, you will have been successful.…","https://www.glassdoor.co.uk/job-listing/house-host-receptionist-locke-JV_IC2671300_KO0,23_KE24,29.htm?jl=1009327806231","Locke","4.1","","Europe","563652000","732747600"
"Customer Support Executive","Report and escalate bugs, errors and issues that our customers\n              encounter on the Ben platform to our Tech team, clearly\n              communicating resolution times to manage……","https://www.glassdoor.co.uk/job-listing/customer-support-executive-ben-JV_IC2671300_KO0,26_KE27,30.htm?jl=1009333067185","Ben","4.8","Jira, English, Information security, Zendesk,\n              Django","Europe","751536000","835040000"
"Junior Content Marketer","This role will report to our Head of Product Marketing and require\n              you to attend our London office at least 2 days per week.\n              Quarterly awards with cash prizes.…","https://www.glassdoor.co.uk/job-listing/junior-content-marketer-hadean-JV_IC2671300_KO0,23_KE24,30.htm?jl=1009332000440","Hadean","4.3","Market research","Europe","1043800000","1565700000"
"Trainee Financial Adviser (Associate Adviser)","Proven track record in business development and sales. Once you\n              have completed the programme you will move onto a self-employed\n              contract with an uncapped……","https://www.glassdoor.co.uk/job-listing/trainee-financial-adviser-associate-adviser-financial-lifestyle-management-JV_IC2671300_KO0,43_KE44,74.htm?jl=1009302480979","Financial Lifestyle Management","3.7","Financial planning, Sales, Business development,\n              IT, Communication skills","Europe","730660000","949858000"
"Recruiter II","Braze allows any marketer to collect and take action on any amount\n              of data from any source, so they can creatively engage with\n              customers in real time, across……","https://www.glassdoor.co.uk/job-listing/recruiter-ii-braze-JV_IC2671300_KO0,12_KE13,18.htm?jl=1009277218356","Braze","4.0","ATS, English, Organisational skills, SaaS","Europe","1440444000","1544824000"
"Telephone Retentions Administrator","Whether it’s a Friday-night feast, a post-gym poke bowl, or\n              grabbing some groceries, our tech platform connects tens of\n              millions of customers with hundreds of……","https://www.glassdoor.co.uk/job-listing/telephone-retentions-administrator-just-eat-takeaway-com-JV_IC2671300_KO0,34_KE35,56.htm?jl=1009327201335","Just Eat Takeaway.com","3.8","Communication skills, Time management","Europe","501024000","651331200"
"Inside Sales Executive (Fully Remote)","Perfect for a driven sales professional to make a significant\n              impact on the lives of our clients, the right candidate will have\n              a relentless attitude towards……","https://www.glassdoor.co.uk/job-listing/inside-sales-executive-fully-remote-healios-JV_IC2671300_KO0,35_KE36,43.htm?jl=1009308582392","Healios","2.8","Sales, Medical Sales, Organisational skills,\n              Communication skills, Negotiation","Europe","521900000","678470000"
"Contact Centre Booking Agent","Provide customers with information about our company, products and\n              services. You will be responsible for handling customer inquiries,\n              assisting customers with……","https://www.glassdoor.co.uk/job-listing/contact-centre-booking-agent-aira-JV_IC2671300_KO0,28_KE29,33.htm?jl=1009154287362","Aira","5.0","Customer service, HubSpot, Communication skills","Europe","501024000","1795336000"
"Operations Analyst","Be involved in project work related to streamlining\n              business-as-usual and new products. TreasurySpring is the product\n              of an obsession with fixing the……","https://www.glassdoor.co.uk/job-listing/operations-analyst-treasuryspring-JV_IC2671300_KO0,18_KE19,33.htm?jl=1009290017967","TreasurySpring","5.0","","Europe","584528000","981172000"
"Graduate Analyst","As a Graduate at GlobalData you will enjoy early responsibility\n              and exposure to our customers and the functions that serve them,\n              including progressive……","https://www.glassdoor.co.uk/job-listing/graduate-analyst-globaldata-plc-JV_IC2671300_KO0,16_KE17,31.htm?jl=1009282477711","GlobalData Plc.","3.5","Microsoft Word, Microsoft Excel, English, Analysis\n              skills","Europe","626280000","751536000"
"Coordinator, Minors, Immigration and Diligence","MInD advises on and oversees compliance globally for productions\n              and PR/marketing activities with respect to immigration\n              requirements, child labour laws, and……","https://www.glassdoor.co.uk/job-listing/coordinator-minors-immigration-and-diligence-netflix-JV_IC2671300_KO0,44_KE45,52.htm?jl=1009318095997","Netflix","4.1","Time management","Europe","1356940000","1565700000"
"Copywriter","Hybrid working – 3 days in the Shoreditch, London office each week\n              (reducing to 2 days in London after the first 6 months).…","https://www.glassdoor.co.uk/job-listing/copywriter-the-good-marketer-group-JV_IC2671300_KO0,10_KE11,34.htm?jl=1009340115279","The Good Marketer Group","3.7","English, SEO, B2B, IT, Marketing","Europe","542776000","605404000"
"EMEA Communications Executive","Support the management of social/employee content creation and\n              approvals of image assets, brand templates, video edits, and pan\n              region communication calendar ……","https://www.glassdoor.co.uk/job-listing/emea-communications-executive-samsara-JV_IC2671300_KO0,29_KE30,37.htm?jl=1009302309137","Samsara","4.3","Content management systems, Project management,\n              Organisational skills, Adobe InDesign, Figma","Europe","2880888000","3235780000"
"Finance Assistant","Ability to process invoices and handling suppliers/client queries.\n              Liaising with clients to resolve any queries. Process client batch\n              and expense invoices.…","https://www.glassdoor.co.uk/job-listing/finance-assistant-yunojuno-JV_IC2671300_KO0,17_KE18,26.htm?jl=1009293268471","YunoJuno","4.2","Microsoft Excel, Microsoft Office, Accounting,\n              Microsoft Dynamics Navision","Europe","605404000","1565700000"
